sad;triste
storm;tempestade
story;historia
stove;fogao
straight;em linha reta
strange;estranho
stranger;estranho
straw;palha
stream;corrente, corrego
streams;corregos
street;rua
Street;Rua
streets;ruas
strength;forca
stretch;trecho
stretched;esticada
strike;greve
string;corda, fio, amarrar
strip;tira
strips;tiras
strong;forte
stronger;mais forte
struck;golpeado
struck;golpeado
structure;estrutura
struggle;luta
student;estudante
students;alunos
studied;estudado
studies;estudos
study;estudo
studying;estudando
style;estilo
subject;assunto
subjects;individuos
substance;substancia
substances;substancias
success;sucesso
successful;sucesso
such;tais
sudden;subita
suddenly;de repente
sugar;acucar
suggest;sugerem
suggested;sugeridos
suit;terno
sum;soma
summer;verao
sun;sol
Sunday;Domingo
sunlight;luz solar
supper;ceia, jantar
supplies;fornecimentos
supply;fornecimento
support;apoio
suppose;supor
supposed;suposto
sure;certo
surely;certamente
surface;superficie
surprise;surpresa
surprised;surpreendido
surrounded;cercado
swam;nadou
sweet;doce
swept;varrido
swim;nadar
swimming;natacao
swing;balanco
swung;oscilado
syllable;silaba
syllables;silabas
symbol;simbolo
symbols;simbolos
system;sistema
systems;sistemas
